Iteration	Posterior	Likelihood	Prior	rate_log_sd	rate_loss	tree_length
0	-2207.396	-2865.068	657.6721	1.295953	2.023721	2.186594
6	-2193.293	-2850.859	657.5664	1.21436	2.222779	2.235588
12	-2202.852	-2860.393	657.5413	1.179319	2.336571	2.235588
18	-2207.296	-2864.251	656.9541	1.204999	1.841808	2.762922
24	-2207.835	-2864.568	656.7325	1.134278	2.269865	2.790944
30	-2204.96	-2862.766	657.8064	1.178421	1.932852	2.210579
36	-2204.589	-2861.544	656.9547	1.143156	2.441633	2.594669
42	-2199.886	-2857.75	657.8642	1.217316	1.873728	2.171305
48	-2214.118	-2871.439	657.321	1.212013	1.873728	2.520009
54	-2217.57	-2875.1	657.5299	1.212013	1.993932	2.342897
60	-2218.003	-2875.867	657.8633	1.425247	2.129229	1.935242
66	-2197.622	-2856.123	658.5013	1.541462	2.116053	1.399961
72	-2211.105	-2869.62	658.5152	1.654453	1.785898	1.454563
78	-2227.998	-2886.697	658.6992	1.497716	2.09743	1.285462
84	-2211.289	-2869.799	658.5104	1.612201	2.447351	1.191859
90	-2204.287	-2862.336	658.0493	1.362299	2.279932	1.795216
96	-2212.039	-2869.991	657.9517	1.406791	2.318526	1.817967
102	-2198.943	-2856.602	657.6594	1.317331	2.658388	1.963342
108	-2200.817	-2859.133	658.3159	1.267777	2.143266	1.726825
114	-2199.422	-2856.859	657.436	1.22783	2.395166	2.252717
120	-2217.052	-2874.879	657.8273	1.322585	1.869042	2.12862
126	-2219.194	-2877.119	657.9248	1.225926	2.275118	1.974542
132	-2202.997	-2861.089	658.0928	1.432179	2.316498	1.702388
138	-2203.376	-2861.956	658.5791	1.487001	1.940217	1.460437
144	-2204.225	-2862.076	657.8505	1.219199	1.841774	2.19187
150	-2204.777	-2862.329	657.5528	1.161495	2.00556	2.356147
156	-2209.04	-2866.745	657.7053	1.248558	2.227105	2.121767
162	-2211.435	-2869.42	657.9858	1.370535	2.083294	1.906912
168	-2185.692	-2843.712	658.0203	1.4299	2.239534	1.783407
174	-2209.652	-2867.57	657.9179	1.419747	2.350754	1.820752
180	-2220.745	-2878.735	657.9897	1.317858	1.897164	2.013323
186	-2211.188	-2869.44	658.2525	1.377678	1.907114	1.790231
192	-2213.678	-2872.001	658.3234	1.335832	1.907114	1.770027
198	-2229.01	-2886.841	657.831	1.37874	2.060321	2.014134
204	-2213.774	-2871.167	657.3929	1.236302	2.388318	2.277202
210	-2223.867	-2881.385	657.5179	1.363182	2.388573	2.114043
216	-2201.39	-2859.318	657.9278	1.341429	2.101639	1.958712
222	-2210.335	-2867.517	657.1823	1.209675	1.89299	2.600284
228	-2220.691	-2877.762	657.0705	1.175074	2.144151	2.600284
234	-2208.976	-2866.284	657.3083	1.248179	1.798409	2.534867
240	-2224.889	-2881.588	656.6994	1.124235	2.677748	2.693448
246	-2234.677	-2892.114	657.4365	1.222449	2.151639	2.338453
252	-2217.884	-2875.439	657.555	1.230411	3.379397	1.886013
258	-2189.066	-2846.5	657.4341	1.20569	3.032216	2.077035
264	-2192.432	-2849.611	657.1789	1.190398	2.159128	2.518273
270	-2197.388	-2854.539	657.1513	1.107423	2.366725	2.518273
276	-2212.964	-2870.25	657.2868	1.173413	1.755399	2.611792
282	-2220.522	-2877.549	657.027	1.12623	2.280231	2.611792
288	-2210.119	-2867.866	657.7474	1.217364	1.738626	2.301803
294	-2216.318	-2873.643	657.3247	1.196803	2.649742	2.264294
300	-2207.857	-2865.555	657.6977	1.354605	1.749949	2.240929
306	-2206.969	-2865.243	658.2749	1.317431	1.743874	1.886916
312	-2195.002	-2853.089	658.087	1.294926	1.715315	2.040673
318	-2182.687	-2840.719	658.0325	1.392795	2.15682	1.831712
324	-2187.619	-2846.135	658.5157	1.478978	1.708052	1.621814
330	-2189.284	-2847.601	658.3171	1.443337	1.973329	1.670672
336	-2195.111	-2853.514	658.4031	1.472741	1.834606	1.648641
342	-2197.824	-2856.226	658.402	1.473749	1.834606	1.648641
348	-2198.641	-2856.854	658.2132	1.372272	1.730888	1.897336
354	-2203.329	-2861.813	658.4842	1.31417	2.150053	1.569998
360	-2217.437	-2875.888	658.4509	1.318076	1.521796	1.870718
366	-2191.82	-2850.01	658.1905	1.353952	2.049035	1.791444
372	-2197.905	-2855.437	657.5324	1.29064	2.317087	2.175906
378	-2196.547	-2854.076	657.5292	1.331047	2.039084	2.250441
384	-2205.283	-2862.897	657.6142	1.338725	2.514224	2.025267
390	-2172.122	-2830.307	658.1844	1.43375	2.114241	1.713917
396	-2177.152	-2835.505	658.3525	1.482547	2.153566	1.541516
402	-2207.65	-2866.152	658.5015	1.597216	2.259798	1.292901
408	-2208.778	-2867.164	658.3858	1.652008	2.635188	1.186361
414	-2212.214	-2870.828	658.6148	1.555785	1.793532	1.450102
420	-2186.066	-2844.327	658.2607	1.607525	2.56722	1.353149
426	-2213.377	-2871.786	658.4083	1.698793	2.535195	1.167741
432	-2211.848	-2869.818	657.9698	1.351918	2.024809	1.952983
438	-2192.745	-2851.04	658.2948	1.378004	2.332945	1.590057
444	-2193.477	-2851.522	658.0456	1.464235	2.210022	1.752937
450	-2197.593	-2855.855	658.2615	1.444787	2.210022	1.61317
456	-2209.252	-2867.664	658.4124	1.508489	1.605244	1.724348
462	-2209.098	-2866.364	657.2651	1.210529	2.006505	2.505993
468	-2209.892	-2867.334	657.4414	1.117869	2.129621	2.409345
474	-2205.729	-2864.053	658.3246	1.407534	1.996468	1.681111
480	-2211.279	-2869.523	658.2444	1.476137	2.042138	1.67038
486	-2210.946	-2869.019	658.0728	1.252013	1.76628	2.05637
492	-2192.737	-2850.393	657.6562	1.324579	1.925255	2.216156
498	-2209.638	-2867.704	658.0663	1.366196	1.883058	1.935437
504	-2205.122	-2862.15	657.0288	1.165534	1.575339	2.849178
510	-2190.192	-2847.639	657.4469	1.174401	2.372356	2.28751
516	-2207.642	-2864.734	657.092	1.211243	2.068241	2.591073
522	-2216.07	-2874.467	658.3973	1.269557	1.763553	1.827142
528	-2227.85	-2885.329	657.4782	1.386409	2.989303	1.93941
534	-2208.462	-2866.849	658.3867	1.480369	1.664738	1.733466
540	-2205.713	-2863.976	658.2634	1.507787	2.412705	1.486878
546	-2195.212	-2853.615	658.4033	1.526209	2.046094	1.516411
552	-2186.107	-2844.01	657.9025	1.352943	2.046094	1.989084
558	-2193.527	-2851.307	657.7797	1.267482	2.077037	2.115058
564	-2190.812	-2848.297	657.4842	1.335542	2.107987	2.251247
570	-2189.329	-2846.948	657.6184	1.214017	2.204838	2.208533
576	-2203.357	-2861.622	658.2644	1.391761	1.911743	1.770181
582	-2195.909	-2853.969	658.06	1.506583	2.103296	1.75452
588	-2200.043	-2858.066	658.0224	1.508846	2.966144	1.473787
594	-2190.531	-2848.888	658.3574	1.628109	2.48059	1.292822
600	-2199.902	-2858.672	658.7705	1.617829	1.965036	1.189223
606	-2189.425	-2848.063	658.6381	1.611577	2.018681	1.279212
612	-2196.897	-2855.382	658.4852	1.615599	2.069065	1.375364
618	-2184.857	-2842.74	657.8829	1.398421	1.778653	2.079831
624	-2215.158	-2872.805	657.6472	1.269858	2.420315	2.079831
630	-2201.28	-2858.931	657.6505	1.399719	2.496054	1.96629
636	-2203.247	-2861.144	657.8968	1.270138	2.117863	2.020895
642	-2211.583	-2869.465	657.8821	1.38715	2.117863	1.952504
648	-2206.124	-2863.264	657.14	1.255057	2.024315	2.54977
654	-2204.048	-2861.319	657.2711	1.136049	1.712701	2.661803
660	-2182.303	-2838.947	656.6446	1.009687	2.162823	2.954666
666	-2171.288	-2827.544	656.2562	0.9862117	2.479987	3.102131
672	-2200.172	-2857.11	656.9371	1.053612	1.937963	2.829502
678	-2204.191	-2861.456	657.2644	1.142034	2.108267	2.512739
684	-2194.515	-2851.32	656.8049	1.042526	2.108267	2.856359
